"Diagram Data","Price","Salesperson","Stock Number","Vehicle Information","Creation Date","unique id"
"1720577911401x512989507055779800","62900","1720557856076x917956074753753100","756221","1720577911401x385923203199926300","Jul 10, 2024 4:18 am","1720577911401x133173158287769600"
"1720577916117x380209944059969540","44900","1720557856076x917956074753753100","683683","1720577916117x957136421916770300","Jul 10, 2024 4:18 am","1720577916117x133848276294696960"
"1720577916954x244857191351189500","48900","1720557856076x917956074753753100","382806","1720577916954x916433839691661300","Jul 10, 2024 4:18 am","1720577916954x902529219189801000"
"1720577917551x359871283274973200","48900","1720557856076x917956074753753100","382539","1720577917551x747793275777712100","Jul 10, 2024 4:18 am","1720577917551x948423339914559500"
"1720577921259x485800977538482200","59900","1720557856076x917956074753753100","372752","1720577921259x872137243145535500","Jul 10, 2024 4:18 am","1720577921259x545810057404350460"
"1720577922414x822127258090078200","35900","1720557856076x917956074753753100","822033","1720577922414x374272388601479200","Jul 10, 2024 4:18 am","1720577922414x400965333730197500"
"1720577923111x393218265458671600","34900","1720557856076x917956074753753100","360438","1720577923111x633312596476035100","Jul 10, 2024 4:18 am","1720577923111x240646066125930500"
"1720577933025x196267817455058940","44900","1720557856076x917956074753753100","KL9437","1720577933025x688849383007977500","Jul 10, 2024 4:18 am","1720577933025x549124943312846850"
"1720577942386x711093220255989800","39900","1720557856076x917956074753753100","JW1841","1720577942386x442446602460725250","Jul 10, 2024 4:19 am","1720577942386x834028753604313100"
"1720577943397x594470002315493400","39900","1720557856076x917956074753753100","JP8355","1720577943397x180604197663146000","Jul 10, 2024 4:19 am","1720577943397x276672080305192960"
"1720577943882x100075487075500030","22900","1720557856076x917956074753753100","HZ2762","1720577943882x150124347694514180","Jul 10, 2024 4:19 am","1720577943882x883477869515243500"
"1720577945215x606849374629920800","34900","1720557856076x917956074753753100","GX8353","1720577945215x955305869893173200","Jul 10, 2024 4:19 am","1720577945215x704187444976418800"
"1720577945655x162932320080232450","69900","1720557856076x917956074753753100","GA4602","1720577945655x920081549912703000","Jul 10, 2024 4:19 am","1720577945655x435812116328874000"
"1720577946100x132260538965819400","27900","1720557856076x917956074753753100","GL1932","1720577946100x973622081543995400","Jul 10, 2024 4:19 am","1720577946100x891555928724734000"
"1720577948459x503052351647514600","59900","1720557856076x917956074753753100","244093","1720577948459x215626080288243700","Jul 10, 2024 4:19 am","1720577948459x876555475617579000"
"1720577949403x170680466350276600","57900","1720557856076x917956074753753100","244091","1720577949403x903251695181234200","Jul 10, 2024 4:19 am","1720577949403x996410489887785000"
"1720577950076x219360103545700350","59900","1720557856076x917956074753753100","244089","1720577950076x376354407909425150","Jul 10, 2024 4:19 am","1720577950076x550668340433518600"
"1720577950923x369592131111092200","69900","1720557856076x917956074753753100","FR1888","1720577950923x342037691882536960","Jul 10, 2024 4:19 am","1720577950923x177601639862501380"
"1720577952898x906280510769332200","19900","1720557856076x917956074753753100","W06063","1720577952898x567188323685629950","Jul 10, 2024 4:19 am","1720577952898x625230565044387800"
"1721164520729x181497713037934600","29900","1720557856076x917956074753753100","FY4776","1721164520729x480794469096226800","Jul 16, 2024 11:15 pm","1721164520729x833158517593735200"
"1721165001876x730237508896424000","17900","1720557856076x917956074753753100","433212","1721165001876x589495821114277900","Jul 16, 2024 11:23 pm","1721165001876x607926423596826600"
"1722022610203x523364149529673700","33900","1721936059223x586049240986026000","CON8","1722022610203x710995881242918900","Jul 26, 2024 9:36 pm","1722022610203x551460340556103700"
"1722022611283x117117577653125120","27900","1721936059223x586049240986026000","23278","1722022611283x135943069087039490","Jul 26, 2024 9:36 pm","1722022611283x238495168997621760"
"1722022612530x920894257007165400","27900","1721936059223x586049240986026000","23280","1722022612530x513144852994850800","Jul 26, 2024 9:36 pm","1722022612530x820906390076784600"
"1722022613373x799206742665199600","","1721936059223x586049240986026000","CON78","1722022613373x603334792489205800","Jul 26, 2024 9:36 pm","1722022613373x712279358499717100"
"1722022614033x927497825953775600","27900","1721936059223x586049240986026000","23283","1722022614033x318745709481558000","Jul 26, 2024 9:36 pm","1722022614033x285226072001216500"
"1722022614645x839289327013593100","27900","1721936059223x586049240986026000","23284","1722022614645x670473020165324800","Jul 26, 2024 9:36 pm","1722022614645x240067189912633340"
"1722022615278x872536125281665000","29900","1721936059223x586049240986026000","23380","1722022615278x193934464574291970","Jul 26, 2024 9:36 pm","1722022615278x624554075508703200"
"1722022617304x593409462308175900","39900","1721936059223x586049240986026000","CON93","1722022617304x885248517549850600","Jul 26, 2024 9:36 pm","1722022617304x953641033295462400"
"1722022618057x167892758663004160","67900","1721936059223x586049240986026000","22757","1722022618057x169411354713128960","Jul 26, 2024 9:36 pm","1722022618057x819244539306573800"
"1722022619243x216855384859869200","67900","1721936059223x586049240986026000","22758","1722022619243x209483874749382660","Jul 26, 2024 9:36 pm","1722022619243x404975123146473500"
"1722022620064x862839431920353300","59900","1721936059223x586049240986026000","22759","1722022620064x780541723608350700","Jul 26, 2024 9:37 pm","1722022620064x287869564160311300"
"1722022620737x833095762718752800","19900","1721936059223x586049240986026000","CON75","1722022620737x724439433133162500","Jul 26, 2024 9:37 pm","1722022620737x476576700918136800"
"1722022621945x769419037481893900","25900","1721936059223x586049240986026000","23254","1722022621945x223364550448906240","Jul 26, 2024 9:37 pm","1722022621945x538761970783879200"
"1722022622658x674133723238105100","20900","1721936059223x586049240986026000","23420","1722022622658x435672907922800640","Jul 26, 2024 9:37 pm","1722022622658x478177662776901600"
"1722022623347x373617332313915400","18900","1721936059223x586049240986026000","23422","1722022623347x390069821150330900","Jul 26, 2024 9:37 pm","1722022623347x108669882503004160"
"1722022625221x792744404921352200","16900","1721936059223x586049240986026000","23423","1722022625221x880601714810945500","Jul 26, 2024 9:37 pm","1722022625221x546957115540111360"
"1722022626421x850039263051907100","36900","1721936059223x586049240986026000","23057","1722022626421x604331476567457800","Jul 26, 2024 9:37 pm","1722022626421x317012270791524350"
"1722022627310x582283485571448800","36900","1721936059223x586049240986026000","23185","1722022627310x418820816994304000","Jul 26, 2024 9:37 pm","1722022627310x994664893758570500"
"1722022628142x954401043202179100","19900","1721936059223x586049240986026000","23199","1722022628142x396436108306546700","Jul 26, 2024 9:37 pm","1722022628142x186885720791842800"
"1722022628675x847990299890024400","36900","1721936059223x586049240986026000","23130","1722022628675x539244439344250900","Jul 26, 2024 9:37 pm","1722022628675x437793273150177300"
"1722022629264x968468456483061800","36900","1721936059223x586049240986026000","23120","1722022629264x957527469467107300","Jul 26, 2024 9:37 pm","1722022629264x854235801111756800"
"1722022630757x760260475308998700","25900","1721936059223x586049240986026000","23136","1722022630757x567663712157040640","Jul 26, 2024 9:37 pm","1722022630757x477924188738813950"
"1722022631607x635687374101676000","19900","1721936059223x586049240986026000","23024","1722022631607x526376593305370600","Jul 26, 2024 9:37 pm","1722022631607x280651017970515970"
"1722022632671x112354431096061950","19900","1721936059223x586049240986026000","23022","1722022632671x759420173535936500","Jul 26, 2024 9:37 pm","1722022632671x362105172559396860"
"1722022633483x659609027892478000","19900","1721936059223x586049240986026000","23026","1722022633483x717152727932862500","Jul 26, 2024 9:37 pm","1722022633483x765910791132020700"
"1722022634807x298970940878356500","11900","1721936059223x586049240986026000","23408","1722022634807x460536555647270900","Jul 26, 2024 9:37 pm","1722022634807x171992027693842430"
"1722022635675x943917086626807800","24900","1721936059223x586049240986026000","23411","1722022635675x588617488414801900","Jul 26, 2024 9:37 pm","1722022635675x820575806261297200"
"1722022636317x532525361170743300","25900","1721936059223x586049240986026000","23106","1722022636317x776802732556943400","Jul 26, 2024 9:37 pm","1722022636317x974611571020922900"
"1722022639642x839060372524892200","39900","1721936059223x586049240986026000","23112","1722022639642x966576997147869200","Jul 26, 2024 9:37 pm","1722022639642x793881641345351700"
"1722022640637x560831407079030800","31900","1721936059223x586049240986026000","23078","1722022640637x897868224726302700","Jul 26, 2024 9:37 pm","1722022640637x261611907800367100"
"1722022641497x110034420250968060","22900","1721936059223x586049240986026000","23234","1722022641497x433682436296540200","Jul 26, 2024 9:37 pm","1722022641497x111767687499087870"
"1722022642300x351694258013208600","16900","1721936059223x586049240986026000","23192","1722022642300x884819437020250100","Jul 26, 2024 9:37 pm","1722022642300x268442559705776130"
"1722022643199x220381293580648450","28900","1721936059223x586049240986026000","23237","1722022643199x172697329877909500","Jul 26, 2024 9:37 pm","1722022643199x232056124348563460"
